,region,townsize,gender,age,agecat,ed,edcat,jobcat,union,employ,empcat,retire,income,inccat,debtinc,creddebt,othdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,active,bfast,tenure,churn,longmon,longten,tollfree,tollmon,tollten,equip,equipmon,equipten,callcard,cardmon,cardten,wireless,wiremon,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03,ln_total_spent
region,1,0.414194393,-0.012809736,-0.026525455,-0.018455285,0.013173255,0.015709654,-0.004717455,-0.013767674,-0.011035782,-0.00934522,-0.042848872,0.044822601,0.041849788,-0.005480386,0.017427343,0.040080851,-0.00685635,0.01563093,0.056497902,0.052841849,0.05029896,0.048202953,-0.012092891,-0.02035053,0.022667314,0.00262684,-0.010965304,0.024290359,0.022076301,-0.020725557,0.045619549,0.017051802,-0.004866634,-0.000842496,0.017011814,0.016652347,0.008766253,0.04026388,0.031004364,0.009806013,-0.009820593,0.057388263,0.050646709,0.189595244,-0.011979248,0.011721639,-0.01704538,0.051611248,0.055817724,0.062416052,0.101006961,0.099317201,0.126941902,-0.023518504,-0.006292324,0.000241399,-0.01091051,0.008363465,-0.01115678,0.002612411,0.01200721,-0.014424643,-0.028101092,-0.00060384,0.004211725,0.003786411,-0.007267279,0.008974084,0.003134022,0.002166305,0.003301247,0.002182289,0.011803455,0.005007656,-0.002514596,0.009255905,0.004773956,0.01342911,0.009225199,0.006176577,0.023630901,0.0274435,0.015504888,0.024335691,0.018543125,0.019497934,0.031453473,0.028089841,0.018853603,0.021834862,0.022922891,0.018777936,0.019668277,0.023290498,0.019332232,0.026084532,0.028630064,0.009907837,0.032778296,0.007721454,0.022060623,0.011319124,0.048588737,0.040228489,0.020596103,0.007503755,0.026391224,0.036622228,0.012312041,-0.013004396,0.005898673,0.005694326,0.037272806
townsize,0.414194393,1,0.00949111,-0.075464281,-0.069081398,0.002530983,0.003684921,-0.010860471,-0.019809701,-0.059013734,-0.058169499,-0.06590644,-0.0019147,-0.00759209,-0.019592471,-0.018986197,-0.00537841,0.023589877,-0.031193969,0.029925068,0.026109646,0.023250205,0.045429993,-0.000220637,-0.018997029,0.03172976,-0.011035127,0.012033155,0.002267449,0.022969895,-0.006583009,0.02406861,-0.003136636,-0.042228558,-0.043306083,0.003665922,0.015417173,-0.00957276,0.002203593,0.000973893,0.001123213,0.0091034,0.135609938,0.13005849,0.485977607,-0.03195851,-0.004888383,-0.016717679,0.131804419,0.116995032,0.100378518,0.186828643,0.26087367,0.29755111,-0.021560362,-0.003522051,0.001337857,-0.015007816,-0.016540631,-0.005435628,0.026441579,-0.000234272,0.00036194,-0.007593898,-0.042073408,-0.033756548,0.007839619,0.001746012,0.022991743,-0.028879964,-0.040062117,-0.032642533,0.022793624,0.010490708,-0.029884854,0.000838271,-0.014820829,-0.019303507,0.000659647,-0.01671964,-0.021663554,-0.006344788,0.000903113,-0.007700884,-0.02473029,-0.014203666,-0.012821314,0.007910934,0.004476039,-0.006593293,0.004593381,-0.006881564,-0.004058772,0.003048485,-0.00410014,-0.010576047,0.002855248,0.00359249,-0.008314495,0.026502116,-0.000382749,-0.004527301,0.0164312,0.020692077,0.022757722,0.002663634,0.005330588,0.007895645,-0.000636118,-0.028678411,-0.006225246,-0.010036673,-0.007200324,0.009189525
gender,-0.012809736,0.00949111,1,-0.010185913,-0.007427184,-0.000643039,-0.002672861,-0.016470318,0.000310858,-0.010945518,-0.013842468,-0.021039892,-0.009952389,-0.002148739,0.005308668,-0.012171753,-0.017953358,-0.001620452,0.001781912,0.003888271,0.002013271,-0.001917842,0.031949451,0.02768391,0.014868702,-0.012092314,0.025103187,0.006138982,0.0087474,0.002267331,0.023060887,0.006350972,0.003200125,-0.014109258,-0.006029912,0.014120372,0.00913527,0.013085756,-0.00747538,-0.002408228,0.005596929,0.011661577,-0.010415911,-0.011763844,0.011342667,0.031083304,-0.001775447,0.003243692,-0.02875995,0.002291907,-0.007104054,0.013717527,0.019405074,0.005030103,-0.006535927,-0.014943964,0.024776443,0.00464039,-0.01529353,-0.036283659,0.048497568,-0.023830303,0.025206661,0.018446413,-0.020110893,-0.006376889,0.030362495,0.018685791,0.006584015,0.006799331,-0.013578002,-0.008150103,0.021339546,0.015647257,-0.009456474,-0.013391432,-0.028278333,-0.026560092,-0.010861862,-0.019202522,-0.012675593,0.011701769,0.003850627,-0.004435089,-0.012769003,-0.021601536,-0.016510444,-0.006170112,-0.01931161,-0.015518446,-0.019838814,-0.006052966,-0.011541064,-0.012860679,-0.039692763,-0.024920235,-0.017734453,-0.018901995,0.020335322,-0.000600305,-0.004655217,-0.003569759,0.012180539,-0.002860503,-0.001115942,-0.006962566,-0.021319487,0.00116439,0.009167199,-0.02083729,0.018057964,0.001384931,-0.00968507,-0.07835127
age,-0.026525455,-0.075464281,-0.010185913,1,0.969878751,-0.094559879,-0.081129091,0.037708728,0.011205649,0.70305302,0.739573428,0.567518618,0.189301241,0.209659247,0.039083502,0.119633021,0.137583117,-0.394208227,0.416807141,0.003030972,-0.0028921,-0.003425217,-0.336148624,0.027097744,0.01549626,0.014603849,-0.016220133,0.008047121,0.003430359,-0.001317737,0.023293467,-0.018264093,-0.022518754,0.822341266,0.827064082,-0.008960269,-0.081562889,0.010314756,0.175765855,0.14100304,0.008255482,0.019001294,0.000506679,0.004161368,-0.056820863,-0.01316173,-0.007201284,0.035198183,-0.003162277,0.011042445,-0.001310822,-0.016591198,-0.014098465,-0.011686725,0.015065007,-0.020311932,0.029140714,-0.022450457,0.011028129,0.006615876,0.009268335,-0.00361211,0.008708022,0.003981324,0.734837529,0.676281389,-0.006956154,0.038281179,-0.014995759,3.00E-05,0.691548817,0.665159338,-0.239011448,0.10965601,0.612030038,-0.265976267,0.44422692,0.474559664,-0.002611692,0.109114003,0.262277704,-0.141550356,-0.101776605,0.093005444,0.286721277,0.287551833,0.442786069,-0.080747232,-0.021753378,0.109004048,0.238135936,-0.077833116,-0.07450102,-0.126458285,-0.018343152,0.001570179,-0.002782665,0.002204136,-0.120077967,-0.07582404,-0.027446229,0.099193869,0.093028522,0.055099564,-0.074423078,-0.133283694,-0.217523578,-0.235225671,-0.042090228,0.365204248,0.015139941,0.01317496,-0.026230829,0.002317746
agecat,-0.018455285,-0.069081398,-0.007427184,0.969878751,1,-0.079021436,-0.064123625,0.032554396,0.004465367,0.676722241,0.732246366,0.511334742,0.211926955,0.249393504,0.041339352,0.13100125,0.156817279,-0.392858667,0.422564002,0.004784605,0.000479973,0.000823723,-0.329220599,0.028179581,0.02122287,0.013146746,-0.011076904,0.013893801,0.004075747,-0.001185006,0.021683114,-0.014792733,-0.027187329,0.799025658,0.82909878,-0.004668581,-0.070910042,0.012551432,0.200461576,0.160584602,0.009064882,0.016535621,-0.005206905,-0.001971551,-0.053104559,-0.005475325,-0.003276014,0.028330575,-0.003349829,0.014767994,-0.001512646,-0.012703959,-0.010765737,-0.012206583,0.012723473,-0.019324802,0.036056386,-0.019001439,0.016982918,0.010554475,0.009448099,-0.001552107,0.00999704,0.005603813,0.717991851,0.688027373,-0.010372447,0.03644911,-0.016360891,-0.00020248,0.679886137,0.668572488,-0.237864389,0.117192669,0.596483894,-0.256324339,0.420786638,0.450388129,0.004019174,0.112095674,0.259495129,-0.135074378,-0.093923663,0.096035151,0.276903241,0.274835937,0.424500987,-0.06685841,-0.009428327,0.116395299,0.232316605,-0.066106567,-0.059051145,-0.118885041,-0.009300016,0.008282683,0.005250139,0.012626107,-0.114888801,-0.059941709,-0.019739569,0.126322661,0.120847962,0.07888829,-0.059489693,-0.123191955,-0.208689532,-0.22338683,-0.029309521,0.348274793,0.010039028,0.010467454,-0.014860223,0.025910117
ed,0.013173255,0.002530983,-0.000643039,-0.094559879,-0.079021436,1,0.963895909,-0.072297239,0.000594226,-0.215373558,-0.197884253,-0.093277817,0.178035927,0.196751146,0.011633367,0.105700374,0.126778205,0.110141249,-0.080120274,-0.021443964,0.11756337,0.170277493,0.023230202,0.032211552,0.010228574,0.028155076,0.00805094,-0.001301414,0.008131299,0.004736845,0.022233504,0.051206476,0.018777265,-0.056453347,-0.033369984,0.004356237,0.039807278,0.014746098,0.158432667,0.105707324,-0.000501954,-0.003187758,0.009807143,0.010422319,-0.008995055,0.001895335,0.001093121,-0.011638663,0.008032882,0.001019094,0.043161262,0.025387516,0.003633174,0.005574711,-0.00209388,0.003360451,-0.09312001,0.001819697,0.017417556,0.097068651,-0.020892912,-0.017361493,-0.015565959,-0.021656335,-0.094449251,-0.047407161,-0.09240357,-0.021707705,-0.012431229,-0.02113695,-0.097375145,-0.060811475,0.01574136,0.009694398,-0.095170079,0.239245793,-0.087418625,-0.0944597,0.028533048,0.01799785,-0.016434796,0.435847504,0.449278837,0.341990604,-0.048743609,-0.039545236,-0.077879563,0.33018193,0.345549562,0.261909007,0.260985094,0.334201126,0.315509755,0.463443514,0.04380385,0.045580352,0.038577619,0.044207042,0.42786474,0.027896292,-0.009503169,0.064505252,0.062181493,0.053189439,0.299870845,0.43503435,0.369255741,0.37623536,0.276749554,-0.073643621,-0.117606324,0.073207063,0.107170664,0.097505687
edcat,0.015709654,0.003684921,-0.002672861,-0.081129091,-0.064123625,0.963895909,1,-0.06900235,-0.003240148,-0.200419459,-0.185672412,-0.089321528,0.176494473,0.197249945,0.009446864,0.099918311,0.123600461,0.103714329,-0.065666615,-0.02229251,0.111136519,0.164745807,0.014514467,0.030485351,0.013167177,0.030387413,0.013713802,0.000599986,0.003756801,0.006829194,0.018294013,0.05453524,0.021945333,-0.04398367,-0.020500784,-0.001618184,0.033752174,0.011866396,0.157234263,0.105286014,0.003100471,-0.006172583,0.009072133,0.00935932,-0.013678537,0.000905143,0.003951607,-0.014191336,0.006668836,0.001606628,0.039027604,0.02327553,0.00693525,0.001250167,-0.002822176,-0.001080178,-0.087680127,0.005266098,0.01393673,0.095643348,-0.015564115,-0.012327348,-0.011449792,-0.020511573,-0.082130711,-0.033679832,-0.092708399,-0.023377154,-0.011412792,-0.01184551,-0.085581695,-0.048405941,0.009675611,0.012956532,-0.086747195,0.23127288,-0.081583368,-0.08737695,0.032056229,0.022110334,-0.010083028,0.429724779,0.44360721,0.338230626,-0.04629118,-0.035875109,-0.07162126,0.322005751,0.339462511,0.258192691,0.252615105,0.327554552,0.311292888,0.45132626,0.049359496,0.047105939,0.036072874,0.046568048,0.41626945,0.030799289,-0.008986733,0.069821426,0.066569444,0.056563007,0.293125455,0.414619356,0.35748104,0.361190818,0.273645771,-0.068420104,-0.11265272,0.070172159,0.106223369,0.094092633
jobcat,-0.004717455,-0.010860471,-0.016470318,0.037708728,0.032554396,-0.072297239,-0.06900235,1,0.084777737,0.41647157,0.346722726,0.173735825,0.10424896,0.067554926,0.005491779,0.068139037,0.077024439,-0.086022243,0.171702688,0.003116215,-0.003397743,-0.007822767,-0.015511774,0.011539325,-0.020794298,-0.001011193,0.000804522,0.007321441,0.003773203,-0.012600804,0.019218495,0.02816731,-0.022920499,0.04844064,0.041350124,0.017468207,0.001892998,0.010942308,0.094907325,0.055173087,-0.003371925,-0.006662725,-0.023440154,-0.02174852,-0.004953686,0.025452244,0.002205094,-0.010879735,-0.006605338,-0.002732033,-0.027458384,-0.013114813,-0.016240758,0.011868844,-0.00165903,0.015027574,0.02004155,-0.017910817,0.001529441,0.018944607,-0.020424066,0.012210636,-0.031302541,-0.01097892,0.14852814,0.102947312,0.020124151,-0.005357684,-0.013699571,0.029617447,0.159406344,0.116826572,-0.028845526,0.028366708,0.150106511,-0.062210731,0.151012851,0.156542261,0.01309974,0.056060321,0.093385255,-0.046809329,-0.034883352,0.017757573,0.094001861,0.106330466,0.146339376,-0.015514929,-0.000359438,0.033278181,0.080278764,-0.029174744,-0.025179549,-0.039653286,0.002845653,0.030651895,0.019355159,0.004103124,-0.042539797,0.003550607,-0.030834553,0.025123583,0.011965734,0.022038145,-0.009352226,-0.037929443,-0.026887992,-0.0502783,0.008409087,0.090860516,0.000137054,0.002887843,-0.008415284,-0.009458366
union,-0.013767674,-0.019809701,0.000310858,0.011205649,0.004465367,0.000594226,-0.003240148,0.084777737,1,0.034846075,0.028027941,0.016391578,0.001832389,0.013028145,-0.004069437,-0.009345838,-0.0097529,-0.017210117,-0.007664024,-0.004504603,-0.002327271,-0.002041377,0.004716686,0.022246036,-0.021601132,-0.007472488,-0.009560082,0.027364218,0.002318942,-0.020487681,0.03402261,0.002338033,-0.007312021,0.001881863,0.0018476,0.003530031,-0.001618485,-0.002496167,0.005014096,-0.005879449,-0.030318062,0.008234286,-0.003892588,-0.003055789,-0.004296151,-0.005170704,0.021037692,-0.0031131,-0.006748217,-0.015757967,0.003568223,-0.003887805,-0.017395262,-0.005119541,-0.003040648,-0.006939179,0.016913722,0.006507217,0.010179665,0.004907105,-0.025885832,0.009338849,0.005804658,0.006422428,0.015198098,0.008931819,0.004069865,-0.016541786,-0.01684294,0.004976069,0.01580789,0.007787118,0.007502773,0.007873981,0.003601311,0.008448821,0.022724548,0.022181592,0.015031599,0.023272233,0.009255864,0.013374816,0.015507178,0.009177059,0.019259129,0.014526108,0.012409951,0.031213765,0.02792827,0.017652913,0.03659902,0.033932491,0.034905482,0.004662263,0.035493073,0.014389502,0.017505631,0.01747096,0.004051717,-0.004957835,-0.009686755,0.005636076,0.012555199,0.00625067,0.019564593,0.006489376,-0.005895172,0.006765115,0.024516307,0.007508301,-0.010491623,0.00643058,0.004478954,0.022655437
employ,-0.011035782,-0.059013734,-0.010945518,0.70305302,0.676722241,-0.215373558,-0.200419459,0.41647157,0.034846075,1,0.898162331,0.502869882,0.319101468,0.312871226,0.033192171,0.193129758,0.225981338,-0.327087129,0.46136183,-0.007134228,-0.03043695,-0.036260638,-0.242910197,0.023703122,0.008094347,0.004251263,-0.012746234,-0.006656312,0.007384423,-0.012844863,0.02630459,0.021400231,-0.041502742,0.606440468,0.595224847,-0.000962279,-0.039033366,0.002390204,0.289609344,0.195881182,0.006062822,0.01420835,-0.006764917,-0.003522773,-0.030682525,-0.000738661,0.003421769,0.02734375,0.007871577,0.003707072,-0.021035775,-0.028030037,-0.012886953,-0.001256606,0.015025099,-0.004813517,0.061498155,-0.022048225,0.024140008,0.026240607,0.000100023,0.004787986,-0.002128089,0.012940013,0.677523505,0.555218022,0.000560994,0.026430063,-0.003772079,0.022823836,0.654875393,0.576319477,-0.167978039,0.09224573,0.585478596,-0.254113042,0.49460185,0.526575607,0.022942138,0.149859231,0.306269886,-0.173862378,-0.131825588,0.04821484,0.290683203,0.314044282,0.469507639,-0.080944878,-0.024316924,0.103002893,0.221623557,-0.080643484,-0.08701272,-0.154770824,0.012422756,0.036758781,0.029283217,0.028524917,-0.15181661,0.016139469,-0.000417746,0.126832326,0.124413277,0.106874224,-0.070407942,-0.161336524,-0.198109923,-0.218398991,-0.040181449,0.367160667,0.040095587,0.014430265,-0.028479955,0.066624811
